5TUD_5HT2B_73	 56-77 92-116 126-151 173-193 214-239 324-346 361-383 
5UEN_AA1R_49	 8-32 46-71 79-103 125-144 177-201 235-259 267-288 
5UEN_AA1R_50	 8-32 46-71 79-103 125-144 177-201 235-259 267-288 
5UEN_AA1R_51	 8-32 46-71 79-103 125-144 177-201 235-259 267-288 
5UIW_CCR5_74	 32-58 66-87 100-124 145-166 188-214 236-260 277-301 
5UNG_AGTR2_52	 46-70 81-104 115-140 160-181 207-232 258-281 295-320 
5V56_SMO_75	 232-254 265-285 313-336 360-378 398-420 453-475 516-537 
5WB1_Q80KM9_76	 32-57 70-91 102-127 144-166 183-208 230-253 271-293 
5WB2_Q80KM9_77	 32-57 70-94 102-127 144-165 183-209 229-253 271-294 
5WB2_Q80KM9_78	 32-57 70-94 102-127 144-165 183-209 229-253 271-294 
5WIU_DRD4_53	 34-59 69-93 109-135 151-171 192-214 395-416 428-451 
5WIU_DRD4_54	 34-59 69-93 109-135 151-171 192-214 395-416 428-451 
5X33_Q9WTK1_55	 18-43 57-78 90-115 136-155 181-204 225-245 265-285 
5YWY_PE2R4_79	 21-43 54-77 93-119 135-156 183-208 271-294 312-333 
5ZBQ_NPY1R_80	 37-66 77-99 115-136 154-175 209-233 263-285 300-322 
5ZHP_ACM3_81	 65-90 105-129 138-163 185-206 230-251 492-515 522-543 
5ZKC_ACM2_82	 18-46 61-86 90-119 140-165 183-208 388-412 416-440 
5ZKQ_PTAFR_83	 16-41 53-78 87-113 134-154 182-207 232-257 270-295 
5ZKQ_PTAFR_84	 16-41 53-78 87-113 134-154 182-207 232-257 270-295 
6AK3_PE2R3_85	 51-71 91-112 128-153 175-194 229-251 281-304 328-349 
6AK3_PE2R3_86	 51-71 91-112 128-153 175-194 229-251 281-304 328-349 
6AK3_PE2R3_87	 51-71 91-112 128-153 175-194 229-251 281-304 328-349 
6AK3_PE2R3_88	 51-71 91-112 128-153 175-194 229-251 281-304 328-349 
6BD4_FZD4_89	 221-242 252-275 300-326 344-365 386-410 438-457 475-496 
6BQG_5HT2C_56	 55-75 91-116 125-153 171-194 213-238 312-336 345-368 
6BQH_5HT2C_57	 56-80 87-111 129-151 168-189 214-236 312-336 348-370 
6BQH_5HT2C_58	 56-80 87-111 129-151 168-189 214-236 312-336 348-370 
6IGL_EDNRB_90	 99-124 137-163 172-197 217-239 272-295 324-349 363-386 
